project,policy,result_time,events,ptg_nodes,ptg_edges,screenshots,crashes,duration,cov_statement,cov_branch,cov_function,events_per_cov_pct,crashes_per_1000ev,uiability_count,note
image-comment,greedy_dfs,2026-06-28-00-17-18,106,21,32,107,0,496.1,66.4,48.7,53.2,1.60,0.00,1,自然终止
image-comment,enhanced_guided,2026-06-28-00-26-08,128,29,29,129,0,2312.2,70.1,52.4,57.8,1.83,0.00,1,未自然终止(手动终止; List+LazyForEach穷尽循环)
image-comment,enhanced_guided_ideal,2026-06-28-00-26-08★,38,14,15,39,0,180.0,70.1,52.4,57.8,0.54,0.00,1,理想推算值(模板去重后); ★为推算值非实测
